,No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
13499,14761,2011,9,8,0,3,18.0,88.0,1009.0,20.0,NW,2.68,0.0,0.0,69.0
13500,14762,2011,9,8,1,3,18.0,88.0,1009.0,20.0,NW,5.81,0.0,0.0,64.0
13501,14763,2011,9,8,2,3,17.0,77.0,1009.0,21.0,NW,9.83,0.0,0.0,17.0
13502,14764,2011,9,8,3,3,16.0,77.0,1009.0,20.0,NW,12.96,0.0,0.0,14.0
13503,14765,2011,9,8,4,3,18.0,88.0,1010.0,20.0,NW,16.09,0.0,0.0,13.0
13504,14766,2011,9,8,5,3,14.0,68.0,1011.0,20.0,NW,20.11,0.0,0.0,11.0
13505,14767,2011,9,8,6,3,15.0,88.0,1011.0,17.0,cv,0.89,0.0,0.0,10.0
13506,14768,2011,9,8,7,3,15.0,88.0,1012.0,17.0,NW,3.13,0.0,0.0,21.0
13507,14769,2011,9,8,8,3,15.0,82.0,1012.0,18.0,NW,6.26,0.0,0.0,17.0
13508,14770,2011,9,8,9,3,15.0,82.0,1013.0,18.0,NE,3.13,0.0,0.0,27.0
13509,14771,2011,9,8,10,3,14.0,68.0,1012.0,20.0,NE,4.92,0.0,0.0,26.0
13510,14772,2011,9,8,11,3,14.0,68.0,1013.0,20.0,cv,0.89,0.0,0.0,23.0
13511,14773,2011,9,8,12,3,14.0,72.0,1013.0,19.0,cv,1.78,0.0,0.0,24.0
13512,14774,2011,9,8,13,3,14.0,68.0,1012.0,20.0,SE,4.02,0.0,0.0,51.0
13513,14775,2011,9,8,14,3,14.0,72.0,1012.0,19.0,SE,7.15,0.0,0.0,40.0
13514,14776,2011,9,8,15,3,15.0,77.0,1012.0,19.0,SE,8.94,0.0,0.0,45.0
13515,14777,2011,9,8,16,3,15.0,77.0,1013.0,19.0,SE,10.73,0.0,0.0,57.0
13516,14778,2011,9,8,17,3,16.0,82.0,1013.0,19.0,SE,12.52,0.0,0.0,57.0
13517,14779,2011,9,8,18,3,16.0,82.0,1013.0,19.0,SE,14.31,0.0,0.0,58.0
13518,14780,2011,9,8,19,3,16.0,88.0,1014.0,18.0,NE,0.89,1.2,1.2,58.0
13519,14781,2011,9,8,20,3,16.0,88.0,1016.0,18.0,cv,0.89,3.8,5.0,44.0
13520,14782,2011,9,8,21,3,16.0,93.0,1016.0,17.0,SE,1.79,0.1,5.1,43.0
13521,14783,2011,9,8,22,3,16.0,93.0,1016.0,17.0,cv,0.89,0.0,0.0,48.0
13522,14784,2011,9,8,23,3,17.0,100.0,1016.0,17.0,cv,1.78,0.0,0.0,43.0
13523,14785,2011,9,9,0,3,17.0,100.0,1017.0,17.0,SE,1.79,0.0,0.0,58.0
13524,14786,2011,9,9,1,3,17.0,100.0,1017.0,17.0,SE,3.58,0.0,0.0,54.0
13525,14787,2011,9,9,2,3,17.0,100.0,1017.0,17.0,cv,0.89,0.0,0.0,48.0
13526,14788,2011,9,9,3,3,15.0,93.0,1017.0,16.0,NW,1.79,0.0,0.0,34.0
13527,14789,2011,9,9,4,3,14.0,87.0,1018.0,16.0,NW,4.92,0.0,0.0,26.0
13528,14790,2011,9,9,5,3,15.0,93.0,1019.0,16.0,NW,8.94,0.0,0.0,5.0
13529,14791,2011,9,9,6,3,13.0,93.0,1019.0,14.0,NW,12.07,0.0,0.0,6.0
13530,14792,2011,9,9,7,3,14.0,82.0,1020.0,17.0,NW,16.09,0.0,0.0,11.0
13531,14793,2011,9,9,8,3,11.0,63.0,1021.0,18.0,NW,21.01,0.0,0.0,13.0
13532,14794,2011,9,9,9,3,6.0,39.0,1021.0,20.0,NW,25.03,0.0,0.0,7.0
13533,14795,2011,9,9,10,3,6.0,35.0,1022.0,22.0,NW,29.95,0.0,0.0,3.0
13534,14796,2011,9,9,11,3,8.0,40.0,1021.0,22.0,NE,4.92,0.0,0.0,16.0
13535,14797,2011,9,9,12,3,3.0,25.0,1021.0,24.0,NW,7.15,0.0,0.0,9.0
13536,14798,2011,9,9,13,3,3.0,25.0,1020.0,24.0,NW,11.17,0.0,0.0,8.0
13537,14799,2011,9,9,14,3,4.0,27.0,1020.0,24.0,NE,4.92,0.0,0.0,7.0
13538,14800,2011,9,9,15,3,3.0,23.0,1020.0,25.0,NW,4.92,0.0,0.0,10.0
13539,14801,2011,9,9,16,3,5.0,31.0,1020.0,23.0,NE,1.79,0.0,0.0,12.0
13540,14802,2011,9,9,17,3,5.0,31.0,1020.0,23.0,NE,4.92,0.0,0.0,14.0
13541,14803,2011,9,9,18,3,9.0,49.0,1021.0,20.0,cv,0.89,0.0,0.0,23.0
13542,14804,2011,9,9,19,3,12.0,67.0,1021.0,18.0,SE,0.89,0.0,0.0,32.0
13543,14805,2011,9,9,20,3,12.0,72.0,1022.0,17.0,cv,0.89,0.0,0.0,32.0
13544,14806,2011,9,9,21,3,10.0,55.0,1022.0,19.0,SE,1.79,0.0,0.0,19.0
13545,14807,2011,9,9,22,3,10.0,52.0,1023.0,20.0,NW,3.13,0.0,0.0,21.0
13546,14808,2011,9,9,23,3,10.0,59.0,1023.0,18.0,NE,0.89,0.0,0.0,48.0
13547,14809,2011,9,10,0,3,11.0,67.0,1023.0,17.0,NW,1.79,0.0,0.0,31.0
13548,14810,2011,9,10,1,3,11.0,67.0,1023.0,17.0,NW,3.58,0.0,0.0,31.0
13549,14811,2011,9,10,2,3,11.0,67.0,1023.0,17.0,NW,5.37,0.1,0.1,25.0
13550,14812,2011,9,10,3,3,12.0,72.0,1023.0,17.0,SE,0.89,1.3,1.4,23.0
13551,14813,2011,9,10,4,3,13.0,82.0,1024.0,16.0,NW,4.92,0.5,1.9,22.0
13552,14814,2011,9,10,5,3,13.0,87.0,1024.0,15.0,NW,9.84,0.8,2.7,11.0
13553,14815,2011,9,10,6,3,13.0,93.0,1025.0,14.0,NW,13.86,1.1,3.8,10.0
13554,14816,2011,9,10,7,3,13.0,93.0,1025.0,14.0,NW,16.99,0.3,4.1,11.0
13555,14817,2011,9,10,8,3,13.0,93.0,1025.0,14.0,NW,21.01,0.4,4.5,12.0
13556,14818,2011,9,10,9,3,12.0,87.0,1026.0,14.0,NW,25.93,0.7,5.2,10.0
13557,14819,2011,9,10,10,3,12.0,87.0,1026.0,14.0,NW,29.95,0.4,5.6,22.0
13558,14820,2011,9,10,11,3,12.0,87.0,1026.0,14.0,NW,31.74,0.9,6.5,8.0
13559,14821,2011,9,10,12,3,13.0,93.0,1025.0,14.0,NW,34.87,0.7,7.2,19.0
13560,14822,2011,9,10,13,3,13.0,93.0,1024.0,14.0,NW,38.0,0.8,8.0,20.0
13561,14823,2011,9,10,14,3,14.0,93.0,1024.0,15.0,NE,1.79,1.2,9.2,14.0
13562,14824,2011,9,10,15,3,13.0,93.0,1023.0,14.0,cv,0.89,0.9,10.1,24.0
13563,14825,2011,9,10,16,3,14.0,93.0,1023.0,15.0,NW,1.79,0.4,10.5,17.0
13564,14826,2011,9,10,17,3,13.0,93.0,1022.0,14.0,NW,4.92,0.1,10.6,15.0
13565,14827,2011,9,10,18,3,13.0,93.0,1022.0,14.0,cv,0.89,0.0,0.0,29.0
13566,14828,2011,9,10,19,3,14.0,100.0,1022.0,14.0,NW,1.79,0.0,0.0,27.0
13567,14829,2011,9,10,20,3,14.0,100.0,1022.0,14.0,NW,3.58,0.0,0.0,31.0
13568,14830,2011,9,10,21,3,14.0,100.0,1022.0,14.0,NE,1.79,0.0,0.0,31.0
13569,14831,2011,9,10,22,3,14.0,100.0,1022.0,14.0,NW,1.79,0.0,0.0,28.0
13570,14832,2011,9,10,23,3,14.0,100.0,1022.0,14.0,NW,4.92,0.0,0.0,35.0
13571,14833,2011,9,11,0,3,13.0,100.0,1022.0,13.0,NW,6.71,0.0,0.0,27.0
13572,14834,2011,9,11,1,3,14.0,100.0,1021.0,14.0,NW,9.84,0.0,0.0,28.0
13573,14835,2011,9,11,2,3,14.0,93.0,1021.0,15.0,NW,12.97,0.0,0.0,28.0
13574,14836,2011,9,11,3,3,13.0,93.0,1020.0,14.0,NW,13.86,0.0,0.0,30.0
13575,14837,2011,9,11,4,3,14.0,100.0,1020.0,14.0,NW,15.65,0.0,0.0,28.0
13576,14838,2011,9,11,5,3,13.0,93.0,1020.0,14.0,NW,17.44,0.0,0.0,28.0
13577,14839,2011,9,11,6,3,13.0,100.0,1020.0,13.0,cv,0.89,0.0,0.0,27.0
13578,14840,2011,9,11,7,3,13.0,87.0,1021.0,15.0,NW,1.79,0.0,0.0,39.0
13579,14841,2011,9,11,8,3,14.0,87.0,1020.0,16.0,NW,3.58,0.0,0.0,38.0
13580,14842,2011,9,11,9,3,14.0,77.0,1021.0,18.0,cv,0.89,0.0,0.0,36.0
13581,14843,2011,9,11,10,3,14.0,72.0,1020.0,19.0,NE,1.79,0.0,0.0,37.0
13582,14844,2011,9,11,11,3,14.0,68.0,1020.0,20.0,cv,1.79,0.0,0.0,33.0
13583,14845,2011,9,11,12,3,15.0,68.0,1020.0,21.0,cv,2.68,0.0,0.0,56.0
13584,14846,2011,9,11,13,3,14.0,64.0,1018.0,21.0,cv,4.47,0.0,0.0,58.0
13585,14847,2011,9,11,14,3,14.0,60.0,1018.0,22.0,cv,6.26,0.0,0.0,67.0
13586,14848,2011,9,11,15,3,14.0,60.0,1017.0,22.0,SE,1.79,0.0,0.0,71.0
13587,14849,2011,9,11,16,3,14.0,60.0,1017.0,22.0,SE,3.58,0.0,0.0,61.0
13588,14850,2011,9,11,17,3,15.0,68.0,1017.0,21.0,SE,5.37,0.0,0.0,47.0
13589,14851,2011,9,11,18,3,15.0,72.0,1017.0,20.0,SE,6.26,0.0,0.0,56.0
13590,14852,2011,9,11,19,3,15.0,72.0,1017.0,20.0,SE,9.39,0.0,0.0,52.0
13591,14853,2011,9,11,20,3,15.0,77.0,1018.0,19.0,SE,11.18,0.0,0.0,51.0
13592,14854,2011,9,11,21,3,15.0,82.0,1018.0,18.0,SE,12.97,0.0,0.0,56.0
13593,14855,2011,9,11,22,3,15.0,88.0,1018.0,17.0,cv,0.89,0.0,0.0,54.0
13594,14856,2011,9,11,23,3,14.0,93.0,1018.0,15.0,cv,1.78,0.0,0.0,68.0
13595,14857,2011,9,12,0,3,14.0,100.0,1018.0,14.0,SE,1.79,0.0,0.0,71.0
13596,14858,2011,9,12,1,3,14.0,100.0,1018.0,14.0,SE,2.68,0.0,0.0,75.0
13597,14859,2011,9,12,2,3,13.0,100.0,1018.0,13.0,SE,3.57,0.0,0.0,83.0
13598,14860,2011,9,12,3,3,12.0,93.0,1018.0,13.0,NE,0.89,0.0,0.0,78.0
13599,14861,2011,9,12,4,3,12.0,93.0,1017.0,13.0,NE,1.78,0.0,0.0,77.0
13600,14862,2011,9,12,5,3,12.0,100.0,1017.0,12.0,NE,2.67,0.0,0.0,100.0
13601,14863,2011,9,12,6,3,12.0,100.0,1017.0,12.0,cv,0.89,0.0,0.0,94.0
13602,14864,2011,9,12,7,3,13.0,93.0,1017.0,14.0,cv,1.78,0.0,0.0,118.0
13603,14865,2011,9,12,8,3,14.0,93.0,1017.0,15.0,cv,2.67,0.0,0.0,124.0
13604,14866,2011,9,12,9,3,15.0,93.0,1018.0,16.0,cv,3.56,0.0,0.0,128.0
13605,14867,2011,9,12,10,3,17.0,100.0,1017.0,17.0,cv,4.45,0.0,0.0,131.0
13606,14868,2011,9,12,11,3,16.0,82.0,1017.0,19.0,SE,1.79,0.0,0.0,149.0
13607,14869,2011,9,12,12,3,16.0,77.0,1016.0,20.0,SE,4.92,0.0,0.0,114.0
13608,14870,2011,9,12,13,3,16.0,77.0,1016.0,20.0,SE,8.05,0.0,0.0,142.0
13609,14871,2011,9,12,14,3,16.0,77.0,1015.0,20.0,SE,11.18,0.0,0.0,168.0
13610,14872,2011,9,12,15,3,16.0,77.0,1014.0,20.0,SE,15.2,0.0,0.0,163.0
13611,14873,2011,9,12,16,3,16.0,77.0,1014.0,20.0,SE,18.33,0.0,0.0,154.0
13612,14874,2011,9,12,17,3,16.0,82.0,1014.0,19.0,SE,20.12,0.0,0.0,176.0
13613,14875,2011,9,12,18,3,16.0,82.0,1013.0,19.0,SE,23.25,0.0,0.0,180.0
13614,14876,2011,9,12,19,3,16.0,88.0,1014.0,18.0,SE,25.04,0.0,0.0,179.0
13615,14877,2011,9,12,20,3,16.0,88.0,1014.0,18.0,SE,26.83,0.0,0.0,135.0
13616,14878,2011,9,12,21,3,16.0,88.0,1014.0,18.0,SE,28.62,0.0,0.0,85.0
13617,14879,2011,9,12,22,3,17.0,93.0,1014.0,18.0,SE,30.41,0.0,0.0,102.0
13618,14880,2011,9,12,23,3,17.0,88.0,1014.0,19.0,SE,32.2,0.0,0.0,108.0
13619,14881,2011,9,13,0,3,17.0,88.0,1014.0,19.0,SE,33.99,0.0,0.0,113.0
13620,14882,2011,9,13,1,3,18.0,93.0,1014.0,19.0,SE,37.12,0.0,0.0,116.0
13621,14883,2011,9,13,2,3,17.0,88.0,1013.0,19.0,SE,38.91,0.0,0.0,113.0
13622,14884,2011,9,13,3,3,18.0,93.0,1013.0,19.0,SE,42.04,0.0,0.0,117.0
13623,14885,2011,9,13,4,3,18.0,93.0,1013.0,19.0,SE,43.83,0.0,0.0,117.0
13624,14886,2011,9,13,5,3,18.0,100.0,1012.0,18.0,SE,45.62,0.0,0.0,117.0
13625,14887,2011,9,13,6,3,18.0,100.0,1013.0,18.0,cv,0.89,0.0,0.0,113.0
13626,14888,2011,9,13,7,3,18.0,93.0,1013.0,19.0,SE,1.79,0.0,0.0,117.0
13627,14889,2011,9,13,8,3,18.0,93.0,1013.0,19.0,SE,3.58,0.0,0.0,124.0
13628,14890,2011,9,13,9,3,18.0,88.0,1013.0,20.0,SE,6.71,0.0,0.0,134.0
13629,14891,2011,9,13,10,3,18.0,88.0,1013.0,20.0,SE,9.84,0.0,0.0,120.0
13630,14892,2011,9,13,11,3,18.0,82.0,1013.0,21.0,SE,11.63,0.0,0.0,126.0
13631,14893,2011,9,13,12,3,18.0,82.0,1012.0,21.0,SE,13.42,0.0,0.0,117.0
13632,14894,2011,9,13,13,3,18.0,82.0,1012.0,21.0,SE,16.55,0.0,0.0,117.0
13633,14895,2011,9,13,14,3,18.0,78.0,1012.0,22.0,SE,19.68,0.0,0.0,132.0
13634,14896,2011,9,13,15,3,18.0,78.0,1011.0,22.0,SE,22.81,0.0,0.0,118.0
13635,14897,2011,9,13,16,3,17.0,73.0,1011.0,22.0,SE,25.94,0.0,0.0,102.0
13636,14898,2011,9,13,17,3,17.0,77.0,1011.0,21.0,SE,27.73,0.0,0.0,102.0
13637,14899,2011,9,13,18,3,18.0,82.0,1011.0,21.0,SE,29.52,0.0,0.0,128.0
13638,14900,2011,9,13,19,3,18.0,88.0,1011.0,20.0,SE,31.31,0.0,0.0,140.0
13639,14901,2011,9,13,20,3,18.0,88.0,1011.0,20.0,SE,33.1,0.0,0.0,134.0
13640,14902,2011,9,13,21,3,18.0,88.0,1012.0,20.0,cv,0.89,0.0,0.0,136.0
13641,14903,2011,9,13,22,3,18.0,88.0,1012.0,20.0,cv,1.78,0.0,0.0,120.0
13642,14904,2011,9,13,23,3,18.0,88.0,1012.0,20.0,cv,2.67,0.0,0.0,142.0
13643,14905,2011,9,14,0,3,18.0,93.0,1011.0,19.0,SE,0.89,0.0,0.0,146.0
13644,14906,2011,9,14,1,3,18.0,93.0,1011.0,19.0,cv,0.89,0.0,0.0,164.0
13645,14907,2011,9,14,2,3,18.0,93.0,1011.0,19.0,cv,1.78,0.0,0.0,163.0
13646,14908,2011,9,14,3,3,18.0,100.0,1011.0,18.0,cv,2.23,0.0,0.0,180.0
13647,14909,2011,9,14,4,3,18.0,93.0,1010.0,19.0,SE,0.89,0.0,0.0,172.0
13648,14910,2011,9,14,5,3,18.0,100.0,1010.0,18.0,cv,0.89,0.0,0.0,170.0
13649,14911,2011,9,14,6,3,18.0,93.0,1010.0,19.0,NE,0.89,0.0,0.0,178.0
13650,14912,2011,9,14,7,3,18.0,93.0,1010.0,19.0,cv,0.89,0.0,0.0,188.0
13651,14913,2011,9,14,8,3,19.0,93.0,1011.0,20.0,cv,1.78,0.0,0.0,177.0
13652,14914,2011,9,14,9,3,19.0,88.0,1011.0,21.0,SE,1.79,0.0,0.0,188.0
13653,14915,2011,9,14,10,3,18.0,78.0,1011.0,22.0,cv,0.89,0.0,0.0,186.0
13654,14916,2011,9,14,11,3,18.0,78.0,1011.0,22.0,SE,3.13,0.0,0.0,196.0
13655,14917,2011,9,14,12,3,19.0,78.0,1011.0,23.0,SE,7.15,0.0,0.0,155.0
13656,14918,2011,9,14,13,3,18.0,69.0,1010.0,24.0,SE,10.28,0.0,0.0,133.0
13657,14919,2011,9,14,14,3,19.0,65.0,1009.0,26.0,SE,13.41,0.0,0.0,145.0
13658,14920,2011,9,14,15,3,18.0,65.0,1009.0,25.0,SE,15.2,0.0,0.0,147.0
13659,14921,2011,9,14,16,3,17.0,61.0,1009.0,25.0,cv,1.79,0.0,0.0,113.0
13660,14922,2011,9,14,17,3,18.0,69.0,1009.0,24.0,SE,3.13,0.0,0.0,99.0
13661,14923,2011,9,14,18,3,18.0,78.0,1009.0,22.0,SE,4.92,0.0,0.0,96.0
13662,14924,2011,9,14,19,3,19.0,88.0,1009.0,21.0,SE,6.71,0.0,0.0,131.0
13663,14925,2011,9,14,20,3,18.0,88.0,1009.0,20.0,SE,7.6,0.0,0.0,146.0
13664,14926,2011,9,14,21,3,17.0,93.0,1010.0,18.0,NE,0.89,0.0,0.0,155.0
13665,14927,2011,9,14,22,3,18.0,100.0,1010.0,18.0,cv,0.89,0.0,0.0,172.0
13666,14928,2011,9,14,23,3,17.0,93.0,1010.0,18.0,cv,1.78,0.0,0.0,204.0
13667,14929,2011,9,15,0,3,17.0,93.0,1011.0,18.0,NW,0.89,0.0,0.0,188.0
13668,14930,2011,9,15,1,3,17.0,93.0,1010.0,18.0,cv,0.45,0.0,0.0,180.0
13669,14931,2011,9,15,2,3,18.0,100.0,1010.0,18.0,SE,0.89,0.0,0.0,186.0
13670,14932,2011,9,15,3,3,17.0,93.0,1010.0,18.0,NE,1.79,0.0,0.0,182.0
13671,14933,2011,9,15,4,3,17.0,100.0,1009.0,17.0,cv,0.89,0.0,0.0,187.0
13672,14934,2011,9,15,5,3,16.0,100.0,1010.0,16.0,NW,0.89,0.0,0.0,203.0
13673,14935,2011,9,15,6,3,16.0,100.0,1010.0,16.0,cv,0.89,0.0,0.0,173.0
13674,14936,2011,9,15,7,3,17.0,100.0,1010.0,17.0,SE,0.89,0.0,0.0,183.0
13675,14937,2011,9,15,8,3,18.0,93.0,1010.0,19.0,SE,2.68,0.0,0.0,195.0
13676,14938,2011,9,15,9,3,19.0,88.0,1011.0,21.0,cv,0.89,0.0,0.0,174.0
13677,14939,2011,9,15,10,3,19.0,78.0,1011.0,23.0,NE,1.79,0.0,0.0,168.0
13678,14940,2011,9,15,11,3,19.0,73.0,1010.0,24.0,cv,1.79,0.0,0.0,160.0
13679,14941,2011,9,15,12,3,19.0,73.0,1010.0,24.0,NW,1.79,0.0,0.0,168.0
13680,14942,2011,9,15,13,3,18.0,61.0,1009.0,26.0,cv,0.89,0.0,0.0,164.0
13681,14943,2011,9,15,14,3,19.0,65.0,1009.0,26.0,cv,2.68,0.0,0.0,164.0
13682,14944,2011,9,15,15,3,18.0,61.0,1008.0,26.0,SE,1.79,0.0,0.0,145.0
13683,14945,2011,9,15,16,3,19.0,65.0,1008.0,26.0,SE,4.92,0.0,0.0,123.0
13684,14946,2011,9,15,17,3,19.0,69.0,1008.0,25.0,SE,6.71,0.0,0.0,102.0
13685,14947,2011,9,15,18,3,19.0,73.0,1009.0,24.0,SE,8.5,0.0,0.0,105.0
13686,14948,2011,9,15,19,3,20.0,83.0,1010.0,23.0,SE,9.39,0.0,0.0,124.0
13687,14949,2011,9,15,20,3,20.0,88.0,1010.0,22.0,SE,10.28,0.0,0.0,108.0
13688,14950,2011,9,15,21,3,17.0,77.0,1011.0,21.0,NE,5.81,0.0,0.0,70.0
13689,14951,2011,9,15,22,3,17.0,82.0,1011.0,20.0,NE,10.73,0.2,0.2,92.0
13690,14952,2011,9,15,23,3,18.0,88.0,1011.0,20.0,NE,12.52,0.0,0.0,36.0
13691,14953,2011,9,16,0,3,17.0,88.0,1012.0,19.0,NW,1.79,0.6,0.6,31.0
13692,14954,2011,9,16,1,3,17.0,88.0,1012.0,19.0,cv,0.89,1.8,2.4,24.0
13693,14955,2011,9,16,2,3,17.0,93.0,1012.0,18.0,NE,1.79,0.0,0.0,17.0
13694,14956,2011,9,16,3,3,17.0,93.0,1012.0,18.0,NW,1.79,0.0,0.0,25.0
13695,14957,2011,9,16,4,3,16.0,93.0,1012.0,17.0,NW,3.58,0.0,0.0,22.0
13696,14958,2011,9,16,5,3,17.0,100.0,1012.0,17.0,cv,0.89,0.0,0.0,26.0
13697,14959,2011,9,16,6,3,17.0,93.0,1013.0,18.0,cv,1.78,0.0,0.0,28.0
13698,14960,2011,9,16,7,3,18.0,93.0,1014.0,19.0,cv,2.67,0.0,0.0,33.0
13699,14961,2011,9,16,8,3,18.0,88.0,1014.0,20.0,NW,4.02,0.0,0.0,26.0
13700,14962,2011,9,16,9,3,16.0,68.0,1015.0,22.0,NW,8.94,0.0,0.0,22.0
13701,14963,2011,9,16,10,3,13.0,56.0,1016.0,22.0,NE,4.92,0.0,0.0,21.0
13702,14964,2011,9,16,11,3,13.0,53.0,1015.0,23.0,NE,9.84,0.0,0.0,11.0
13703,14965,2011,9,16,12,3,12.0,49.0,1015.0,23.0,NE,14.76,0.0,0.0,12.0
13704,14966,2011,9,16,13,3,10.0,46.0,1015.0,22.0,NE,20.57,0.0,0.0,19.0
13705,14967,2011,9,16,14,3,9.0,46.0,1014.0,21.0,NE,26.38,0.0,0.0,23.0
13706,14968,2011,9,16,15,3,8.0,43.0,1014.0,21.0,NE,31.3,0.0,0.0,12.0
13707,14969,2011,9,16,16,3,8.0,45.0,1015.0,20.0,NE,34.43,0.0,0.0,16.0
13708,14970,2011,9,16,17,3,9.0,52.0,1015.0,19.0,NW,1.79,0.0,0.0,16.0
13709,14971,2011,9,16,18,3,9.0,55.0,1015.0,18.0,NW,4.92,0.0,0.0,25.0
13710,14972,2011,9,16,19,3,9.0,55.0,1016.0,18.0,NW,8.94,0.0,0.0,26.0
13711,14973,2011,9,16,20,3,10.0,63.0,1016.0,17.0,NW,12.07,0.0,0.0,28.0
13712,14974,2011,9,16,21,3,10.0,63.0,1017.0,17.0,NW,15.2,0.0,0.0,26.0
13713,14975,2011,9,16,22,3,11.0,67.0,1017.0,17.0,NW,16.99,0.2,0.2,31.0
13714,14976,2011,9,16,23,3,12.0,67.0,1017.0,18.0,NW,20.12,0.2,0.4,25.0
13715,14977,2011,9,17,0,3,13.0,87.0,1018.0,15.0,NW,21.91,0.2,0.6,26.0
13716,14978,2011,9,17,1,3,13.0,87.0,1018.0,15.0,cv,0.89,0.2,0.8,24.0
13717,14979,2011,9,17,2,3,12.0,77.0,1018.0,16.0,cv,1.78,0.0,0.0,10.0
13718,14980,2011,9,17,3,3,11.0,76.0,1018.0,15.0,NE,3.13,0.0,0.0,21.0
13719,14981,2011,9,17,4,3,6.0,54.0,1019.0,15.0,NW,3.13,0.0,0.0,5.0
13720,14982,2011,9,17,5,3,2.0,38.0,1019.0,16.0,NE,4.02,0.0,0.0,8.0
13721,14983,2011,9,17,6,3,3.0,44.0,1019.0,15.0,NE,7.15,0.0,0.0,9.0
13722,14984,2011,9,17,7,3,3.0,44.0,1020.0,15.0,NW,3.13,0.0,0.0,10.0
13723,14985,2011,9,17,8,3,2.0,41.0,1020.0,15.0,NW,6.26,0.0,0.0,18.0
13724,14986,2011,9,17,9,3,4.0,41.0,1021.0,17.0,NW,10.28,0.0,0.0,12.0
13725,14987,2011,9,17,10,3,-1.0,27.0,1021.0,18.0,NW,15.2,0.0,0.0,12.0
13726,14988,2011,9,17,11,3,-1.0,24.0,1020.0,20.0,NE,4.02,0.0,0.0,11.0
13727,14989,2011,9,17,12,3,-1.0,24.0,1020.0,20.0,NE,8.94,0.0,0.0,6.0
13728,14990,2011,9,17,13,3,-1.0,22.0,1019.0,21.0,NE,12.96,0.0,0.0,4.0
13729,14991,2011,9,17,14,3,-2.0,21.0,1019.0,21.0,NE,16.09,0.0,0.0,7.0
13730,14992,2011,9,17,15,3,0.0,26.0,1019.0,20.0,SE,1.79,0.0,0.0,7.0
13731,14993,2011,9,17,16,3,2.0,30.0,1019.0,20.0,cv,0.89,0.0,0.0,7.0
13732,14994,2011,9,17,17,3,4.0,37.0,1018.0,19.0,SE,1.79,0.0,0.0,21.0
13733,14995,2011,9,17,18,3,2.0,32.0,1019.0,19.0,cv,0.89,0.0,0.0,20.0
13734,14996,2011,9,17,19,3,2.0,34.0,1020.0,18.0,SE,4.02,0.0,0.0,26.0
13735,14997,2011,9,17,20,3,1.0,31.0,1021.0,18.0,SE,7.15,0.0,0.0,35.0
13736,14998,2011,9,17,21,3,5.0,47.0,1022.0,16.0,NW,3.13,0.0,0.0,47.0
13737,14999,2011,9,17,22,3,6.0,58.0,1023.0,14.0,NE,1.79,0.0,0.0,59.0
13738,15000,2011,9,17,23,3,7.0,76.0,1023.0,11.0,NW,3.13,0.0,0.0,49.0
13739,15001,2011,9,18,0,3,6.0,71.0,1024.0,11.0,NW,4.92,0.0,0.0,35.0
13740,15002,2011,9,18,1,3,6.0,76.0,1024.0,10.0,NW,8.05,0.0,0.0,28.0
13741,15003,2011,9,18,2,3,6.0,76.0,1025.0,10.0,NW,9.84,0.0,0.0,28.0
13742,15004,2011,9,18,3,3,5.0,75.0,1025.0,9.0,NW,12.97,0.0,0.0,29.0
13743,15005,2011,9,18,4,3,5.0,71.0,1025.0,10.0,NE,1.79,0.0,0.0,32.0
13744,15006,2011,9,18,5,3,4.0,66.0,1026.0,10.0,cv,0.89,0.0,0.0,31.0
13745,15007,2011,9,18,6,3,4.0,70.0,1027.0,9.0,NW,3.13,0.0,0.0,44.0
13746,15008,2011,9,18,7,3,4.0,57.0,1027.0,12.0,NW,7.15,0.0,0.0,17.0
13747,15009,2011,9,18,8,3,4.0,47.0,1028.0,15.0,NE,4.02,0.0,0.0,14.0
13748,15010,2011,9,18,9,3,2.0,38.0,1028.0,16.0,NW,4.02,0.0,0.0,9.0
13749,15011,2011,9,18,10,3,0.0,29.0,1028.0,18.0,NW,8.04,0.0,0.0,17.0
13750,15012,2011,9,18,11,3,0.0,29.0,1027.0,18.0,NW,12.06,0.0,0.0,5.0
13751,15013,2011,9,18,12,3,0.0,27.0,1027.0,19.0,NW,16.08,0.0,0.0,8.0
13752,15014,2011,9,18,13,3,0.0,27.0,1026.0,19.0,NW,19.21,0.0,0.0,11.0
13753,15015,2011,9,18,14,3,1.0,29.0,1025.0,19.0,NW,21.0,0.0,0.0,8.0
13754,15016,2011,9,18,15,3,1.0,26.0,1025.0,21.0,cv,0.89,0.0,0.0,8.0
13755,15017,2011,9,18,16,3,-1.0,24.0,1024.0,20.0,SE,1.79,0.0,0.0,9.0
13756,15018,2011,9,18,17,3,0.0,27.0,1024.0,19.0,SE,5.81,0.0,0.0,8.0
13757,15019,2011,9,18,18,3,0.0,29.0,1024.0,18.0,SE,8.94,0.0,0.0,21.0
13758,15020,2011,9,18,19,3,1.0,31.0,1024.0,18.0,SE,12.07,0.0,0.0,26.0
13759,15021,2011,9,18,20,3,1.0,31.0,1024.0,18.0,SE,16.09,0.0,0.0,28.0
13760,15022,2011,9,18,21,3,0.0,31.0,1025.0,17.0,SE,19.22,0.0,0.0,24.0
13761,15023,2011,9,18,22,3,5.0,62.0,1025.0,12.0,cv,0.89,0.0,0.0,27.0
